"acs_year","community_area","under_25_000","_25_000_to_49_999","_50_000_to_74_999","_75_000_to_125_000","_125_000","male_0_to_17","male_18_to_24","male_25_to_34","male_35_to_49","male_50_to_64","male_65","female_0_to_17","female_18_to_24","female_25_to_34","female_35_to_49","female_50_to_64","female_65","total_population","white","black_or_african_american","american_indian_or_alaska","asian","native_hawaiin_or_pacific","other_race","multiracial","white_not_hispanic_or_latino","hispanic_or_latino","record_id"
"2023","ALBANY PARK","1269.0","1916.0","1801.0","2306.0","3379.0","4799.0","2955.0","4513.0","5442.0","4354.0","2287.0","4913.0","2405.0","4116.0","5228.0","3764.0","3054.0","47830.0","21496.0","2228.0","759.0","7124.0","1.0","7888.0","8334.0","16115.0","21108.0","2023_ALBANY PARK"
"2023","ARCHER HEIGHTS","223.0","752.0","441.0","795.0","739.0","1927.0","732.0","1102.0","1240.0","1417.0","1035.0","1502.0","899.0","978.0","1167.0","854.0","1021.0","13875.0","6232.0","10.0","108.0","679.0","0.0","3705.0","3142.0","2043.0","11097.0","2023_ARCHER HEIGHTS"
"2023","ARMOUR SQUARE","701.0","798.0","370.0","637.0","597.0","1300.0","487.0","871.0","1174.0","1177.0","1032.0","1022.0","517.0","965.0","1163.0","1378.0","2063.0","13149.0","2556.0","1487.0","107.0","8402.0","61.0","212.0","325.0","2226.0","565.0","2023_ARMOUR SQUARE"
"2023","ASHBURN","797.0","1351.0","1985.0","3014.0","2735.0","5150.0","1964.0","2881.0","4178.0","4228.0","2473.0","5138.0","2248.0","2774.0","4582.0","4044.0","3184.0","42842.0","11297.0","18124.0","697.0","436.0","0.0","7772.0","4517.0","3774.0","19917.0","2023_ASHBURN"
"2023","AUBURN GRESHAM","2541.0","2451.0","1592.0","2202.0","1850.0","5803.0","1836.0","2964.0","3431.0","3469.0","3223.0","5305.0","2304.0","3057.0","4522.0","5213.0","5357.0","46483.0","760.0","43414.0","119.0","399.0","0.0","993.0","798.0","491.0","1577.0","2023_AUBURN GRESHAM"
"2023","AUSTIN","5506.0","5084.0","3600.0","4047.0","3725.0","12399.0","4668.0","6681.0","9920.0","8110.0","6175.0","12163.0","4575.0","6643.0","10092.0","10040.0","8811.0","100278.0","10447.0","73602.0","531.0","678.0","21.0","8512.0","6487.0","5386.0","19591.0","2023_AUSTIN"
"2023","AVALON PARK","420.0","489.0","356.0","518.0","630.0","1216.0","256.0","362.0","781.0","747.0","664.0","714.0","450.0","509.0","1087.0","965.0","1741.0","9492.0","27.0","8924.0","0.0","65.0","0.0","265.0","211.0","27.0","48.0","2023_AVALON PARK"
"2023","AVONDALE","689.0","1191.0","1106.0","1726.0","3059.0","2666.0","1811.0","4559.0","4354.0","3117.0","1272.0","3768.0","1755.0","4664.0","3753.0","2913.0","1718.0","36350.0","19289.0","927.0","263.0","1750.0","15.0","7809.0","6297.0","13718.0","18606.0","2023_AVONDALE"
"2023","BELMONT CRAGIN","1585.0","3843.0","3031.0","4588.0","3299.0","9084.0","3962.0","5195.0","8427.0","6668.0","3396.0","9697.0","3604.0","4798.0","7358.0","6445.0","5352.0","73988.0","27909.0","3370.0","993.0","1939.0","23.0","25743.0","14011.0","10782.0","57511.0","2023_BELMONT CRAGIN"
"2023","BEVERLY","160.0","294.0","355.0","1074.0","3255.0","2069.0","856.0","863.0","1776.0","2112.0","1795.0","2206.0","730.0","1027.0","1667.0","2627.0","2082.0","19811.0","11330.0","6671.0","9.0","176.0","23.0","276.0","1327.0","10974.0","1389.0","2023_BEVERLY"
"2023","BRIDGEPORT","1123.0","1450.0","1043.0","1634.0","2572.0","3048.0","1222.0","3580.0","3650.0","2982.0","2560.0","2606.0","1231.0","3327.0","3241.0","2969.0","2594.0","33012.0","13410.0","991.0","152.0","13234.0","0.0","2751.0","2475.0","11334.0","6879.0","2023_BRIDGEPORT"
"2023","BRIGHTON PARK","1685.0","2564.0","1889.0","2138.0","1531.0","5354.0","2207.0","4308.0","3517.0","4085.0","2317.0","5398.0","2564.0","3232.0","3802.0","3452.0","2125.0","42360.0","14018.0","937.0","850.0","4391.0","128.0","14067.0","7969.0","3193.0","33785.0","2023_BRIGHTON PARK"
"2023","BURNSIDE","31.0","104.0","73.0","96.0","136.0","262.0","82.0","20.0","182.0","148.0","210.0","189.0","63.0","126.0","292.0","323.0","333.0","2229.0","40.0","2007.0","0.0","0.0","0.0","0.0","183.0","40.0","108.0","2023_BURNSIDE"
"2023","CALUMET HEIGHTS","353.0","308.0","431.0","906.0","903.0","930.0","221.0","783.0","661.0","1057.0","1133.0","1232.0","541.0","707.0","1056.0","1477.0","2279.0","12078.0","130.0","11470.0","19.0","17.0","0.0","158.0","284.0","28.0","498.0","2023_CALUMET HEIGHTS"
"2023","CHATHAM","1530.0","1427.0","940.0","1291.0","1356.0","3149.0","1317.0","2269.0","1889.0","3182.0","1955.0","2565.0","1774.0","2398.0","3096.0","3965.0","3881.0","31440.0","414.0","29714.0","69.0","111.0","0.0","276.0","855.0","336.0","783.0","2023_CHATHAM"
"2023","CHICAGO LAWN","2242.0","2901.0","2615.0","2352.0","1408.0","6370.0","3202.0","3678.0","5317.0","3471.0","3416.0","6727.0","3025.0","4383.0","4672.0","4160.0","3824.0","52245.0","10788.0","19658.0","806.0","272.0","0.0","12657.0","8064.0","1143.0","30407.0","2023_CHICAGO LAWN"
"2023","CLEARING","359.0","997.0","1002.0","1677.0","1913.0","3350.0","1088.0","1920.0","3146.0","1993.0","1381.0","2561.0","900.0","1817.0","2472.0","2236.0","1847.0","24710.0","13917.0","486.0","479.0","178.0","37.0","4913.0","4701.0","8932.0","14872.0","2023_CLEARING"
"2023","DOUGLAS","689.0","571.0","526.0","431.0","737.0","1630.0","1654.0","1445.0","1400.0","1276.0","1149.0","1464.0","1511.0","1994.0","1463.0","1626.0","2017.0","18629.0","2278.0","12400.0","214.0","2006.0","0.0","797.0","936.0","2042.0","1416.0","2023_DOUGLAS"
"2023","DUNNING","761.0","1136.0","1714.0","3223.0","4246.0","4181.0","1634.0","2430.0","4527.0","5135.0","2831.0","4077.0","1902.0","2693.0","4013.0","4902.0","4222.0","42548.0","28488.0","1273.0","225.0","2450.0","4.0","5328.0","4779.0","23593.0","14613.0","2023_DUNNING"
"2023","EAST GARFIELD PARK","1416.0","1114.0","462.0","767.0","436.0","2588.0","872.0","1525.0","1599.0","1499.0","796.0","2730.0","1264.0","1378.0","2624.0","1669.0","1312.0","19855.0","1537.0","16911.0","47.0","35.0","13.0","494.0","818.0","1130.0","1535.0","2023_EAST GARFIELD PARK"
"2023","EAST SIDE","712.0","1248.0","1214.0","1450.0","988.0","2988.0","1376.0","1539.0","2518.0","2232.0","1010.0","3668.0","1311.0","1359.0","2324.0","1833.0","1473.0","23629.0","10892.0","365.0","597.0","146.0","0.0","7703.0","3927.0","2651.0","20479.0","2023_EAST SIDE"
"2023","EDGEWATER","736.0","1082.0","909.0","1984.0","3751.0","2835.0","2070.0","5429.0","6256.0","4618.0","3208.0","2770.0","2761.0","5238.0","4632.0","3545.0","4121.0","47484.0","28646.0","5684.0","87.0","5724.0","90.0","1724.0","5529.0","25939.0","7756.0","2023_EDGEWATER"
"2023","EDISON PARK","123.0","183.0","109.0","677.0","1846.0","1248.0","301.0","624.0","1045.0","1437.0","808.0","1292.0","331.0","1141.0","1063.0","1256.0","854.0","11398.0","9914.0","50.0","0.0","178.0","0.0","517.0","739.0","9162.0","1673.0","2023_EDISON PARK"
"2023","ENGLEWOOD","1501.0","1264.0","754.0","705.0","321.0","2835.0","934.0","1402.0","1506.0","2045.0","1418.0","2400.0","1018.0","1813.0","1662.0","2454.0","1851.0","21337.0","619.0","19500.0","20.0","167.0","0.0","515.0","516.0","276.0","1114.0","2023_ENGLEWOOD"
"2023","FOREST GLEN","162.0","349.0","343.0","953.0","3439.0","2749.0","504.0","925.0","2140.0","1833.0","1628.0","2234.0","455.0","954.0","2392.0","1990.0","1959.0","19763.0","15419.0","193.0","0.0","2190.0","0.0","725.0","1236.0","14528.0","2133.0","2023_FOREST GLEN"
"2023","FULLER PARK","186.0","113.0","36.0","61.0","34.0","225.0","149.0","75.0","87.0","134.0","365.0","212.0","86.0","110.0","194.0","269.0","280.0","2186.0","148.0","1850.0","7.0","7.0","0.0","22.0","151.0","86.0","232.0","2023_FULLER PARK"
"2023","GAGE PARK","1007.0","2038.0","1582.0","1619.0","1240.0","4256.0","2089.0","2910.0","3105.0","2809.0","2007.0","4786.0","2159.0","2167.0","3549.0","2489.0","2325.0","34650.0","13619.0","1403.0","536.0","264.0","1.0","13063.0","5764.0","995.0","31985.0","2023_GAGE PARK"
"2023","GARFIELD RIDGE","421.0","1324.0","1220.0","2378.0","3565.0","4492.0","1324.0","2255.0","3930.0","3987.0","2545.0","3856.0","978.0","2459.0","3515.0","3464.0","3459.0","36265.0","21939.0","1183.0","502.0","595.0","40.0","6073.0","5932.0","13879.0","20235.0","2023_GARFIELD RIDGE"
"2023","GRAND BOULEVARD","913.0","944.0","651.0","1406.0","1292.0","2160.0","807.0","2105.0","1857.0","2299.0","1347.0","2902.0","1080.0","2370.0","2930.0","2586.0","2365.0","24808.0","1339.0","21947.0","38.0","204.0","24.0","241.0","1015.0","1296.0","809.0","2023_GRAND BOULEVARD"
"2023","GREATER GRAND CROSSING","1853.0","1764.0","1121.0","1172.0","747.0","3356.0","1108.0","1553.0","2280.0","2627.0","2022.0","3636.0","1210.0","2250.0","2972.0","3042.0","2996.0","29052.0","350.0","27524.0","184.0","74.0","1.0","531.0","387.0","304.0","756.0","2023_GREATER GRAND CROSSING"
"2023","HEGEWISCH","213.0","309.0","462.0","560.0","592.0","1099.0","504.0","550.0","700.0","1155.0","623.0","898.0","286.0","671.0","611.0","890.0","909.0","8895.0","4768.0","1226.0","10.0","59.0","0.0","2015.0","818.0","3236.0","4331.0","2023_HEGEWISCH"
