"account_number","site_number","legal_name","doing_business_as_name","address","license_description","license_number","expiration_date","latitude","longitude"
"349928","1","RDK VENTURES LLC","CIRCLE K # 6711","801 - 809 W ADDISON ST 1","Filling Station","2013751","2028-09-15T00:00:00.000","41.9472070912","-87.6495530007"
"349928","4","RDK VENTURES LLC","CIRCLE K #6735","1160 W DIVERSEY PKWY 1","Filling Station","2013765","2028-09-15T00:00:00.000","41.9326744181","-87.6582286885"
"356099","1","MUTLI-PARK CHICAGO, INC.","MUTLI-PARK CHICAGO, INC.","635-645 S WABASH AVE 1 1","Commercial Garage","2054408","2028-09-15T00:00:00.000","41.8736695857","-87.6258318022"
"312261","1","MILLENNIUM PARK LIVING, INC.","MILLENNIUM PARK LIVING INC","155 N MICHIGAN AVE","Commercial Garage","1771541","2028-09-15T00:00:00.000","41.8846362492","-87.6243138872"
"373032","1","77 West Wacker Drive, L.L.C.","77 West Wacker Drive, L.L.C.","77 W WACKER DR 40 4050","Commercial Garage","2575170","2028-09-15T00:00:00.000","41.886707738","-87.6307945778"
"349928","2","RDK VENTURES LLC","CIRCLE K # 6736","346 - 350 W CHICAGO AVE 1","Filling Station","2013756","2028-09-15T00:00:00.000","41.8966553711","-87.6375075014"
"349928","3","RDK VENTURES LLC","CIRCLE K #6765","1160 W VAN BUREN ST 1","Filling Station","2013760","2028-09-15T00:00:00.000","41.8766296724","-87.6569748623"
"488001","1","UNION PARKING, LLC","UNION PARKING, LLC","1371 W RANDOLPH ST","Commercial Garage","2862806","2028-08-15T00:00:00.000","41.8840657883","-87.6615656779"
"218977","1","PAK PETROLEUM OF CHICAGO, INC.","ZUBAIR'S BP","603 S INDEPENDENCE BLVD","Filling Station","1171063","2028-08-15T00:00:00.000","41.8734120329","-87.7196023246"
"246876","1","M & S GAS AND FOOD, INC.","GOLO","3731 W ROOSEVELT RD","Filling Station","1245774","2028-08-15T00:00:00.000","41.8661421024","-87.7191899412"
"508618","1","KKDD LLC","KKDD LLC","1-7 W HURON ST","Commercial Garage","2977691","2028-08-15T00:00:00.000","41.8947651539","-87.6282290571"
"428843","6","MODERN PARKING SERVICES, LLC","MODERN PARKING SERVICES","430 S CLARK ST","Commercial Garage","2912023","2028-08-15T00:00:00.000","41.8762445585","-87.6308769485"
"85443","314","ABM INDUSTRY GROUPS, LLC","ABM Industry Groups, LLC","1445 N STATE PKWY B2, B1, 1 AND 2","Commercial Garage","2957020","2027-06-15T00:00:00.000","41.9090753639","-87.6286729015"
"63376","68","INTERPARK LLC","INTERPARK","318 S FEDERAL ST  ENCLO","Commercial Garage","22219","2028-07-15T00:00:00.000","41.8776262409","-87.6298619712"
"63376","160","INTERPARK LLC","INTERPARK","181 N CLARK ST","Commercial Garage","1676076","2028-07-15T00:00:00.000","41.8852537981","-87.6308156141"
"63376","109","INTERPARK LLC","INTERPARK","516 N RUSH ST","Commercial Garage","1739582","2028-07-15T00:00:00.000","41.891525359","-87.6255196638"
"63376","28","INTERPARK LLC","INTERPARK","222 W MERCHANDISE MART PLZ  OUT","Commercial Garage","2575004","2028-07-15T00:00:00.000","41.8880742811","-87.6349552029"
"63376","103","INTERPARK LLC","INTERPARKING","60 E LAKE ST # 1","Commercial Garage","22278","2028-07-15T00:00:00.000","41.8858384518","-87.6258416456"
"63376","191","INTERPARK LLC","INTERPARK","230 W WASHINGTON ST 1","Commercial Garage","2183666","2028-07-15T00:00:00.000","41.8833178599","-87.6347690946"
"63376","100","INTERPARK LLC","INTERPARK","326 S WELLS ST 1ST","Commercial Garage","22273","2028-07-15T00:00:00.000","41.877459033","-87.6338560441"
"63376","178","INTERPARK LLC","INTERPARK","217 W WASHINGTON ST 1ST - 12TH","Commercial Garage","2008720","2028-07-15T00:00:00.000","41.8831000298","-87.6343782452"
"63376","148","INTERPARK LLC","ONTARIO ST. CLAIR SELF PARK","165 E ONTARIO ST","Commercial Garage","1547886","2028-07-15T00:00:00.000","41.8932512463","-87.6227918441"
"63376","198","INTERPARK LLC","INTERPARK","301 W LAKE ST 1-12","Commercial Garage","2385682","2028-07-15T00:00:00.000","41.8856267354","-87.6354834612"
"63376","6","INTERPARK LLC","INTERPARK","319 W RANDOLPH ST  1","Commercial Garage","22280","2028-07-15T00:00:00.000","41.8843540892","-87.6359386365"
"63376","63","INTERPARK LLC","INTERPARK","527 W KINZIE ST  NOT E","Commercial Garage","22207","2028-07-15T00:00:00.000","41.8889643979","-87.6408246905"
"63376","196","INTERPARK LLC","INTERPARK","430 N RUSH ST 1","Commercial Garage","2368235","2028-07-15T00:00:00.000","41.890143557","-87.6254615766"
"63376","83","INTERPARK LLC","INTERPARK","20 S CLARK ST  ENCLO","Commercial Garage","22242","2028-07-15T00:00:00.000","41.8814794944","-87.6310149498"
"63376","162","INTERPARK LLC","INTERPARK","20 E RANDOLPH ST","Commercial Garage","1697042","2028-07-15T00:00:00.000","41.8846028549","-87.6271869402"
"63376","193","INTERPARK LLC","INTERPARK","200 W RANDOLPH ST LL-7","Commercial Garage","2293649","2028-07-15T00:00:00.000","41.8845790459","-87.633969721"
"63376","205","INTERPARK LLC","SalesForce Tower","333 W WOLF POINT PLZ","Commercial Garage","3016007","2028-07-15T00:00:00.000","41.8878082854","-87.6375334796"
"63376","137","INTERPARK LLC","INTERPARK","203 N LA SALLE ST","Commercial Garage","1220988","2028-07-15T00:00:00.000","41.8858220479","-87.6323037351"
"63376","84","INTERPARK LLC","INTERPARK","437 N ORLEANS ST  1","Commercial Garage","22244","2028-07-15T00:00:00.000","41.8902024618","-87.6368469746"
"63376","48","INTERPARK LLC","INTERPARK","350 N ORLEANS ST  1","Commercial Garage","22250","2028-07-15T00:00:00.000","41.8887410381","-87.6370805406"
"63376","56","INTERPARK LLC","INTERPARK","750 N DEARBORN ST  ENCLO","Commercial Garage","22195","2028-07-15T00:00:00.000","41.8964117391","-87.6299177729"
"63376","133","INTERPARK LLC","INTERPARK","1000 N LAKE SHORE DR","Commercial Garage","1169765","2028-07-15T00:00:00.000","41.900752974","-87.6242349998"
"63376","140","INTERPARK LLC","INTERPARK","401 N WELLS ST","Commercial Garage","1227989","2028-07-15T00:00:00.000","41.8892152218","-87.6338644008"
"63376","167","INTERPARK LLC","INTERPARK","211 W ADAMS ST","Commercial Garage","1766879","2028-07-15T00:00:00.000","41.8792728388","-87.6341031984"
"63376","4","INTERPARK LLC","INTERPARK","10 E GRAND AVE  1","Commercial Garage","22283","2028-07-15T00:00:00.000","41.8917914631","-87.6276577412"
"63376","206","INTERPARK LLC","WMW Garage","172 W MADISON ST 2ND-13TH FLOOR","Commercial Garage","3036264","2028-07-15T00:00:00.000","41.8820621828","-87.6330391152"
"63376","138","INTERPARK LLC","INTERPARK","181 N DEARBORN ST","Commercial Garage","1220990","2028-07-15T00:00:00.000","41.8853504636","-87.629337393"
"63376","192","INTERPARK LLC","INTERPARK","155 N WACKER DR 1-2","Commercial Garage","2575008","2028-07-15T00:00:00.000","41.8846156171","-87.6366823578"
"63376","11","INTERPARK LLC","INTERPARK","177 N WELLS ST  ENCLO","Commercial Garage","22198","2028-07-15T00:00:00.000","41.8852571941","-87.633769796"
"63376","139","INTERPARK LLC","INTERPARK","17 E ADAMS ST","Commercial Garage","1220992","2028-07-15T00:00:00.000","41.879387334","-87.6270636524"
"63376","110","INTERPARK LLC","INTERPARK","345 N LA SALLE ST","Commercial Garage","1739942","2028-07-15T00:00:00.000","41.8886713589","-87.6323632479"
"63376","204","INTERPARK LLC","InterPark","855 W MADISON ST","Commercial Garage","2780587","2028-07-15T00:00:00.000","41.8816311369","-87.6495475985"
"324325","223","LAZ PARKING CHICAGO, LLC","LAZ PARKING","220 W ILLINOIS ST 1-6","Commercial Garage","3077866","2027-07-15T00:00:00.000","41.8908838178","-87.6349740862"
"527626","1","335 JAC CORP.","MARATHON","335 N OGDEN AVE","Filling Station","3086675","2028-07-15T00:00:00.000","41.8874660026","-87.6613909907"
"13934","4","A & A PARKING, INC.","A & A PARKING, INC.","3735 N CLARK ST 1ST","Commercial Garage","25840","2028-06-15T00:00:00.000","41.949894521","-87.6585108369"
"255173","1","CISSILY, INC.","ASHLAND ADDISON SHELL","3600 N ASHLAND AVE","Commercial Garage","1680523","2028-06-15T00:00:00.000","41.9470793702","-87.6690072991"
"255173","1","CISSILY, INC.","ASHLAND ADDISON SHELL","3600 N ASHLAND AVE","Filling Station","1301978","2028-06-15T00:00:00.000","41.9470793702","-87.6690072991"
"354002","34","METROPOLITAN 1, LLC","METROPOLITAN 1, LLC","325 W INSTITUTE PL","Commercial Garage","2762686","2028-06-15T00:00:00.000","41.8972770124","-87.6368344456"
